ANSS,"ANSYS, Inc.",155.14,$13.17B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
ATRS,"Antares Pharma, Inc.",2.18,$341.55M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs
ANTH,"Anthera Pharmaceuticals, Inc.",1.495,$20.71M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
APLS,"Apellis Pharmaceuticals, Inc.",21.79,$1.1B,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apls
APOG,"Apogee Enterprises, Inc.",46,$1.32B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog
APEN,"Apollo Endosurgery, Inc.",6.09,$105.3M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/apen
AINV,Apollo Investment Corporation,5.72,$1.25B,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv
AMEH,"Apollo Medical Holdings, Inc.",26.9,$162.3M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ameh
APPF,"AppFolio, Inc.",41,$1.39B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf
APPN,Appian Corporation,31.87,$1.92B,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appn
AAPL,Apple Inc.,174.33,$886.83B,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
ARCI,"Appliance Recycling Centers of America, Inc.",0.96,$6.6M,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci
APDN,Applied DNA Sciences Inc,1.61,$48.48M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdn
APDNW,Applied DNA Sciences Inc,0.35,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdnw
AGTC,Applied Genetic Technologies Corporation,4.2,$75.99M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agtc
